         100652 function calls (100647 primitive calls) in 0.594 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:649(msg)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:675(sign)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\tornado\ioloop.py:604(call_later)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\typing.py:1221(__instancecheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\tornado\platform\asyncio.py:216(call_at)
       21    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:629(get)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\typing.py:1492(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\session.py:645(msg_header)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\jupyter_client\jsonutil.py:107(json_default)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:708(__set__)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\ipykernel\iostream.py:710(_flush_buffers)
       20    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\enum.py:1123(__new__)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:747(call_later)
        2    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\zmq\eventloop\zmqstream.py:532(sending)
        6    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\typing.py:392(inner)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:689(set)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        7    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:738(time)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\Franciscocho\AppData\Roaming\Python\Python312\site-packages\traitlets\traitlets.py:718(_validate)
        2    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\queue.py:97(empty)
        1    0.000    0.000    0.000    0.000 c:\miniconda\envs\Program_2\Lib\asyncio\base_events.py:771(call_at)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.next}
